Gra,Film,Literatura,Zajecie,Media_u,Moda,Wakacje,Rod_prz_sam,gry_czas,Plec
strategiczne,dramat,powiesc,sluchanie muzyki,Instagram,Casual,Podrozowanie,Przyjaciele,Raz w tygodniu,mezczyzna
strategiczne,fantasy,opowiadanie,Gry komputerowe,nie uzywam,nie dbam o mode,Praca,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strzelanki,komedia,powiesc,Sport,Facebook,Casual,Podrozowanie,Rodzina,Raz w tygodniu,mezczyzna
strategiczne,dramat,powiesc,Gry komputerowe,TikTok,Casual,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
przygodowe,fantasy,powiesc,Gry komputerowe,Instagram,Casual,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strzelanki,komedia,powiesc,Gry komputerowe,Facebook,nie dbam o mode,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strategiczne,fantasy,opowiadanie,Czytanie,nie uzywam,nie dbam o mode,Praca,samotnie,Kilka razy w tygodniu,mezczyzna
przygodowe,horror,bajka,Czytanie,Facebook,nie dbam o mode,Podrozowanie,Rodzina,Rzadko,kobieta
logiczne,fantasy,opowiadanie,Sport,Instagram,Sportowy,Odpoczynek w domu,Przyjaciele,Rzadko,kobieta
karciane,kryminal,powiesc,Sport,TikTok,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
strategiczne,dramat,opowiadanie,sluchanie muzyki,Instagram,Elegancki,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
logiczne,komedia,powiesc,sluchanie muzyki,Instagram,Elegancki,Podrozowanie,Rodzina,Rzadko,kobieta
strzelanki,dramat,powiesc,sluchanie muzyki,Instagram,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
logiczne,dramat,powiesc,Czytanie,TikTok,Casual,Podrozowanie,Rodzina,Rzadko,kobieta
logiczne,komedia,opowiadanie,Sport,Instagram,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
logiczne,horror,powiesc,sluchanie muzyki,TikTok,Elegancki,Podrozowanie,samotnie,Raz w tygodniu,kobieta
przygodowe,fantasy,powiesc,Czytanie,Facebook,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
strzelanki,fantasy,powiesc,sluchanie muzyki,Instagram,Elegancki,Podrozowanie,Przyjaciele,Codziennie,mezczyzna
logiczne,kryminal,powiesc,Gry komputerowe,Instagram,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
strategiczne,familijne,esej,sluchanie muzyki,Instagram,Elegancki,Odpoczynek w domu,Przyjaciele,Rzadko,mezczyzna
strategiczne,fantasy,powiesc,Gry komputerowe,nie uzywam,nie dbam o mode,Odpoczynek w domu,samotnie,Codziennie,mezczyzna
strategiczne,fantasy,powiesc,sluchanie muzyki,TikTok,nie dbam o mode,Praca,Przyjaciele,Codziennie,mezczyzna
strategiczne,fantasy,powiesc,sluchanie muzyki,TikTok,nie dbam o mode,Praca,Przyjaciele,Codziennie,mezczyzna
strzelanki,fantasy,opowiadanie,sluchanie muzyki,TikTok,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
przygodowe,kryminal,powiesc,Czytanie,Instagram,nie dbam o mode,Podrozowanie,Przyjaciele,Rzadko,kobieta
karciane,horror,opowiadanie,Czytanie,TikTok,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
strategiczne,kryminal,powiesc,sluchanie muzyki,TikTok,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
przygodowe,komedia,esej,Sport,nie uzywam,Casual,Podrozowanie,Przyjaciele,Codziennie,mezczyzna
strzelanki,kryminal,opowiadanie,Sport,Instagram,Sportowy,Podrozowanie,Przyjaciele,Rzadko,mezczyzna